Set,"Set Ri, #FPvalue",Ri ← FPvalue,Sets Ri to given floating point value,1,SET,00001,I,1,1,0,0,1,,
Load,"Load Ri, Rj",Ri ← M[Rj],Copies Rj from memory and into Ri,1,LOD,00010,D,1,1,0,0,1,,
Store,"Store Ri, Rj",M[Ri] ← Rj,Copies data from register Rj into memory,1,STR,00011,D,1,1,0,0,1,,
Move,"Move Ri, Rj",Ri ← Rj,"Moves the value of Rj to Ri, deleting the original",1,MOV,00100,R,1,1,0,0,1,,
Add,"Fadd Ri, Rj, Rk",Ri ← Rj + Rk,Adds Rj and Rk into Ri,3,ADD,00101,R,1,1,1,1,1,,
Subtract,"Fsub Ri, Rj, Rk",Ri ← Rj – Rk,Subtrcts Rk from Rj into Ri,3,SUB,00110,R,1,1,1,1,1,,
Negate,"Fneg Ri, Rj",Ri ← -Rj,Sets Ri to the Opposite of Rj,1,NEG,00111,R,0,1,0,0,1,,
Multiply,"Fmul Ri, Rj, Rk",Ri ← Rj * Rk,Multiplies Rj and Rk into Ri,5,MUL,01000,R,1,1,1,1,1,,
Divide,"Fdiv Ri, Rj, Rk",Ri ← Rj / Rk,Divides Rj by Rk into Ri,8,DIV,01001,R,1,1,1,1,1,,
Floor,"Floor Ri, Rj",Ri ← ⌊Rj⌋,Sets Ri to the floor of Rj,1,FLR,01010,R,1,1,0,0,1,,
Ceiling,"Ceil Ri, Rj",Ri ← ⌈Rj⌉,Seting Ri to the ceil of Rj,1,CEL,01011,R,1,1,0,0,1,,
Round,"Round Ri, Rj",Ri ← round(Rj),Sets Ri to Rj rounded to the nearest whole number,1,RND,01100,R,1,1,1,1,1,,
Absolute Value,"Fabs Ri, Rj",Ri ← | Rj |,Sets Ri to the absolute value of Rj,1,ABS,01101,R,1,0,0,0,1,,
Minimum,"Min Ri, Rj, Rk","Ri ← min( Rj, Rk)",Sets Ri to the minimum value between Rj and Rk?,1,MIN,01110,R,1,1,0,0,1,,
Maximum,"Max Ri, Rj, Rk","Ri ← max( Rj, Rk)",Sets Ri to the maximum value between Rj and Rk?,1,MAX,01111,R,1,1,0,0,1,,
Power,"Pow Ri, Rj, #integer_value",Ri ← Rj^integer_value,Sets Ri to Rj raised to some given integer power,6,POW,10000,I,1,1,1,1,1,,
Exponent,"Exp Ri, Rj",Ri ← e^Rj,Sets Ri to Rj exponentiated,8,EXP,10001,R,0,0,1,1,1,,
Square Root,"Sqrt Ri, Rj",Ri ← √Rj,Sets Ri to the square root of Rj,8,SQR,10010,R,1,0,1,1,1,,
Branch (Uncond.),B Ri,PC ← M[Ri],Loads Ri from memory into PC,1,BRU,10011,,0,0,0,0,1,,
Branch Zero,"BZ Ri, LABEL",If (Ri == 0) PC ← LABEL (line),Sends the PC to a specific labeled line if Ri is zero,3,BRZ,10100,,1,0,0,0,1,,
Branch Negative,"BN Ri, LABEL",If (Ri < 0) PC ← LABEL (line),Sends the PC to a specific labeled line if Ri is negative,3,BRN,10101,,0,1,0,0,1,,
No-op,Nop,No operation,No operation,1,NOP,10110,,0,0,0,0,1,,
Halt,Halt,Stop Program,Stop program,-,HLT,10111,,0,0,0,0,1,,